,qualifyId,raceId,driverId,constructorId,number,position_indiv,position_team,Fastest_Qual,year,round,Rainfall,Air Temp,Track Temp,Wind Speed,Single,Throttle,Brake
136,7673,995,842,5,10,16,14.0,01:13.0,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,80.57643835616439,0.7121461187214612
137,7674,995,840,3,18,17,17.5,01:13.6,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,77.25777777777778,0.6834703196347032
138,7675,995,845,3,35,18,17.5,01:13.6,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,81.3075799086758,0.7150076103500761
139,7676,995,828,15,9,19,16.0,01:14.6,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,89.0062100456621,0.8143683409436834
140,7677,995,154,210,8,20,15.5,00:00.0,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,102.03695585996955,0.9849010654490107
141,7678,995,825,210,20,11,15.5,01:12.6,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,70.60614916286148,0.5350989345509893
142,7679,995,844,15,16,13,16.0,01:12.7,2018,7,Dry,23.17878788,43.43484848,2.021212121,No,71.54672754946728,0.5302283105022831
143,7680,996,1,131,44,1,1.5,01:30.0,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,69.69829242848515,0.506945588316038
144,7681,996,822,131,77,2,1.5,01:30.1,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,73.39933014879482,0.5701422061165102
145,7682,996,20,6,5,3,4.5,01:30.4,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,50.04074013067589,0.3107121286992807
146,7683,996,830,9,33,4,4.5,01:30.7,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,55.776643057156974,0.29017734585186405
147,7684,996,817,9,3,5,4.5,01:30.9,2018,8,1/2 Race,23.08082192,31.09589041,0.932876712,No,52.79047932795256,0.3320155932575633
